song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,valence,time_signature,popularity,Stream,predicted_mood
Pittanokadani,Mohana,/artist/mohana,39:57:00,Telugu,2018-06-12,0.08,0.69,0.337,0.311,-9.617,0.038,149.978,0,11,0.022,4,40,538962,Sad
He Jyothiswaroopa,S. Janaki|P. Susheela,/artist/s-janaki|/artist/p-suseela-2,03:14,Telugu,2018-06-11,0.04,0.655,0.375,0.207,-4.881,0.0849,139.954,1,1,0.057,4,75,5314029,Sad
Thandanaalo,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:04,Telugu,2018-06-10,0.83,0.05,0.473,0.229,-13.682,0.05,149.949,0,1,0.0503,4,44,3268212,Happy
Naa Kannulu Neeko,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,03:42,Telugu,2018-06-09,0.47,0.979,0.555,0.917,-3.043,0.0564,173.998,0,8,0.06,4,77,3975268,Sad
Amma Ladhu,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:34,Telugu,2018-06-09,0.81,0.493,0.387,0.832,-13.211,0.02,175.065,1,5,0.0801,4,60,820958,Sad
Thallini Minchina,Jikki,/artist/jikki,03:04,Telugu,2018-06-08,0.19,0.74,0.41,0.609,-3.426,0.0686,151.176,0,8,0.05,4,60,9345780,Sad
Mamakoothura Neetho,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:29,Telugu,2018-06-08,0.52,0.96,0.842,0.577,-6.285,0.08,145.121,0,5,0.07,4,35,6077565,Energetic
Mabbullo Yemundhi,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,04:19,Telugu,2018-06-08,0.59,0.21,0.824,0.482,-12.928,0.0688,140.026,1,0,0.016,4,27,7834895,Happy
Rama Naamame Madhuram,Ghanatasala|P.B. Sreenivas,/artist/ghanatasala|/artist/pb-sreenivas,06:06,Telugu,2018-06-08,0.32,0.46,0.083,0.17,-13.399,0.0968,139.716,1,2,0.014,4,76,10389463,Sad
Bhaliraneeventa,S. Janaki,/artist/s-janaki,03:18,Telugu,2018-06-07,0.57,0.82,0.403,0.979,-9.569,0.043,173.847,1,7,0.034,4,48,7095294,Sad
Ninnu Kanna,Mano|S. Janaki,/artist/mano|/artist/s-janaki,04:48,Telugu,2018-06-07,0.84,0.378,0.529,0.227,-9.492,0.07,150.09,1,4,0.1,4,100,6376252,Sad
Mayadhaari,V. Ramakrishna,/artist/v-ramakrishna-2,07:08,Telugu,2018-06-07,0.27,0.679,0.052,0.627,-3.148,0.0245,150.1,1,8,0.1,4,98,8881249,Sad
Guddutha Nee Yabba,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:04,Telugu,2018-06-06,0.86,0.272,0.667,0.506,-12.036,0.053,139.949,0,6,0.0041,4,85,5941262,Happy
Oho Ho Banhaarupichchika,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:14,Telugu,2018-06-06,0.71,0.889,0.114,0.777,-13.433,0.054,173.038,0,2,0.0583,4,59,1789644,Sad
Jaya Jaya,S. Janaki,/artist/s-janaki,02:04,Telugu,2018-06-05,0.63,0.694,0.477,0.79,-3.982,0.032,140.117,0,4,0.072,4,82,11034857,Sad
Prakruthi Kanthaku,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,03:39,Telugu,2018-06-05,0.38,0.28,0.036,0.103,-13.921,0.019,129.99,1,1,0.07,4,33,1449064,Sad
Malle Thellana,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:24,Telugu,2018-06-05,0.26,0.793,0.665,0.183,-10.812,0.066,173.978,0,11,0.006,4,73,1085992,Sad
Kannumarugaina,Pithapuram Nageswara Rao,/artist/pithapuram-nageswara-rao,41:03:00,Telugu,2018-06-04,0.14,0.45,0.571,0.853,-2.126,0.04,150.138,0,5,0.008,4,78,7789062,Sad
Raja Rajasri,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:03,Telugu,2018-06-03,0.29,0.831,0.202,0.143,-2.724,0.08,174.872,1,2,0.0305,4,60,9948001,Sad
Uppu Chepa Pappu Chaaru,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,03:45,Telugu,2018-06-03,0.82,0.03,0.642,0.113,-7.991,0.0185,172.047,1,1,0.04,4,48,2867535,Happy
Sara Sari Ila Vachi,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:31,Telugu,2018-06-03,0.19,0.69,0.509,0.896,-3.366,0.006,175.054,0,11,0.0061,4,63,8923007,Sad
Paritaapamugani,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,01:33,Telugu,2018-06-02,0.31,0.56,0.239,0.377,-11.797,0.0886,145.015,0,10,0.0252,4,66,10400544,Sad
Padava,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,03:23,Telugu,2018-06-02,0.44,0.87,0.682,0.323,-5.824,0.02,147.74,1,1,0.0318,4,58,4394751,Happy
Manase Jhathaga Paadindhile,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:31,Telugu,2018-05-12,0.14,0.1,0.126,0.842,-10.997,0.015,140.03,0,9,0.013,4,63,1166677,Sad
Andani Suraseema,P. Susheela|S. Janaki|Sulamangalam R Rajalakshmi,/artist/p-suseela-2|/artist/s-janaki|/artist/sulamangalam-r-rajalakshmi,06:36,Telugu,2018-05-12,0.03,0.19,0.217,0.552,-11.177,0.011,145.035,0,11,0.009,4,98,2362888,Sad
Ye Divilo Virisina,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,05:17,Telugu,2018-05-12,0.03,0.64,0.294,0.645,-13.622,0.08,140.023,1,2,0.087,4,73,5516705,Sad
Paadamani Mannadaga,P Suhseela,/artist/p-suhseela,03:36,Telugu,2018-05-10,0.84,0.47,0.908,0.947,-9.379,0.066,139.949,0,10,0.026,4,43,11189273,Energetic
Madhuvolaka Bosey,V. Ramakrishna|P. Susheela,/artist/v-ramakrishna-2|/artist/p-suseela-2,04:05,Telugu,2018-05-10,0.17,0.49,0.022,0.4,-12.432,0.06,160.081,1,9,0.079,4,40,126181,Sad
Ok Prema Ok,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:18,Telugu,2018-05-08,0.61,0.58,0.705,0.83,-4.636,0.082,145.085,1,10,0.0567,4,47,7930965,Happy
Janaki Kantha Smaranam,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,01:00,Telugu,2018-05-08,0.93,0.162,0.566,0.822,-7.783,0.007,150.012,1,2,0.04,4,37,4271823,Happy
Adi Oka Raathiri,S.P.Charan|P. Susheela,/artist/spcharan|/artist/p-suseela-2,04:38,Telugu,2018-05-07,0.6,0.489,0.625,0.13,-5.914,0.04,174.006,0,11,0.0449,4,80,8621481,Sad
Raamachandraya,M. Balamuralikrishna,/artist/m-balamuralikrishna-1,01:51,Telugu,2018-05-07,0.85,0.908,0.24,0.719,-13.223,0.0478,150.035,0,4,0.07,4,87,10224462,Sad
Kadupara,Nagore Babu,/artist/nagore-babu,02:13,Telugu,2018-05-06,0.42,0.187,0.551,0.337,-5.537,0.05,174.986,0,6,0.0,4,59,1925313,Sad
Balisinolla Pesidentu Papayi,Madhava Peddi,/artist/madhava-peddi-1,04:33,Telugu,2018-05-05,0.3,0.48,0.446,0.838,-8.106,0.06,173.948,1,2,0.0935,4,55,482614,Sad
Paata Padave Vayyari,Ghanatasala|Jamuna Rani,/artist/ghanatasala|/artist/jamuna-rani,03:20,Telugu,2018-05-05,0.62,0.26,0.238,0.928,-5.725,0.0942,174.096,1,0,0.03,4,52,10502257,Sad
Swathi Chinuku,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,05:31,Telugu,2018-05-05,0.66,0.45,0.978,0.208,-13.225,0.0071,134.979,1,7,0.091,4,53,10612434,Sad
Neekunnadi Nennani,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,03:22,Telugu,2018-05-04,0.66,0.049,0.577,0.632,-6.173,0.0822,174.006,0,11,0.053,4,64,7399870,Happy
Challani Babu,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,03:04,Telugu,2018-05-04,0.64,0.444,0.263,0.046,-11.103,0.0341,151.944,0,6,0.0921,4,48,4347403,Sad
Karunamurthulu,Jamuna Rani|P Leela|P. Susheela|S. Janaki|P.B. Sreenivas|M.L. Vasanthakumari|Madhavapeddi Satyam|P. Suri Babu|Kalyanam Raghuramaiah,/artist/jamuna-rani|/artist/p-leela|/artist/p-suseela-2|/artist/s-janaki|/artist/pb-sreenivas|/artist/ml-vasanthakumari|/artist/madhavapeddi-satyam|/artist/p-suri-babu-15|/artist/kalyanam-raghuramaiah-42,01:02:51,Telugu,2018-05-04,0.08,0.25,0.782,0.679,-4.539,0.0252,139.829,0,10,0.0675,4,46,5687721,Energetic
Sri Rama Chandra,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,04:06,Telugu,2018-05-02,0.92,0.024,0.547,0.452,-12.654,0.087,173.961,1,6,0.08,4,27,9909185,Happy
Manasu Gathi Inthey,Ghanatasala,/artist/ghanatasala,04:07,Telugu,2018-05-02,0.63,0.365,0.482,0.203,-12.02,0.0758,150.102,1,1,0.04,4,94,9314443,Sad
O Priyatama,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,04:26,Telugu,2018-04-12,0.66,0.808,0.579,0.409,-4.284,0.0877,174.99,1,2,0.031,4,44,9174337,Sad
Sariganchu Cheera,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,03:57,Telugu,2018-04-12,0.81,0.254,0.335,0.806,-3.195,0.0503,139.875,0,11,0.05,4,41,10866648,Sad
Kaliyugam Kaliyugam,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,03:37,Telugu,2018-04-11,0.94,0.32,0.895,0.989,-3.087,0.022,150.027,1,11,0.0194,4,49,9138608,Happy
Ammammo Allari Pidugamma,P. Susheela|S. P. Balasubrahmanyam,/artist/p-suseela-2|/artist/s-p-balasubrahamanyam,03:00,Telugu,2018-04-09,0.89,0.062,0.87,0.549,-13.026,0.0354,173.985,1,1,0.032,4,49,5913042,Happy
Vandanamu Raghunandana,Bhanumathi Ramakrishna,/artist/bhanumathi-ramakrishna,02:58,Telugu,2018-04-07,0.68,0.43,0.061,0.886,-10.65,0.0486,175.056,0,9,0.0378,4,59,10021526,Sad
Sakkani Mudda Banthi,Malaysia Vasudevan,/artist/malaysia-vasudevan,04:40,Telugu,2018-04-07,0.6,0.895,0.353,0.003,-6.447,0.021,150.128,1,9,0.001,4,91,2961286,Sad
Prema Geema,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,06:15,Telugu,2018-04-07,0.51,0.74,0.268,0.235,-11.426,0.015,145.01,1,8,0.07,4,74,4265159,Sad
Oh Lammi,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:12,Telugu,2018-04-06,0.0,0.46,0.801,0.975,-13.551,0.0201,140.028,0,11,0.08,4,68,5308136,Sad
Pedavula Raagam,Rajeethram|S. Janaki,/artist/rajeethram|/artist/s-janaki,04:29,Telugu,2018-04-05,0.9,0.201,0.545,0.538,-9.349,0.052,150.094,1,8,0.0001,4,44,6399913,Happy
Nammaku Nammaku,S P Balasubrahamanyam,/artist/s-p-balasubrahamanyam,05:32,Telugu,2018-04-05,0.19,0.561,0.404,0.999,-4.325,0.071,136.023,1,8,0.0219,4,85,11133177,Sad
Sayamkalam,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:27,Telugu,2018-04-04,0.05,0.624,0.751,0.208,-10.889,0.01,139.974,1,1,0.032,4,35,10445667,Sad
Ledu Ledani,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,04:05,Telugu,2018-04-04,0.22,0.78,0.812,0.326,-8.614,0.085,150.024,1,4,0.06,4,83,6569943,Happy
Ollantha Oyyarame,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:23,Telugu,2018-04-03,0.04,0.52,0.099,0.269,-11.318,0.09,149.851,1,7,0.091,4,55,4847030,Sad
Gunde Gonthullna,Mano|K. S. Chithra,/artist/mano|/artist/chitra,06:02,Telugu,2018-04-03,0.91,0.2,0.073,0.785,-6.489,0.07,139.898,1,1,0.059,4,69,3725578,Sad
Pedhavula Paina,Ghanatasala,/artist/ghanatasala,03:26,Telugu,2018-04-02,0.96,0.093,0.811,0.597,-10.206,0.04,173.976,0,0,0.024,4,46,7213146,Happy
Nee Jilugupaita,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,03:05,Telugu,2018-04-01,0.47,0.04,0.155,0.082,-12.058,0.041,173.959,0,5,0.08,4,70,7425965,Sad
Yevaro Vastharani,Ghanatasala,/artist/ghanatasala,05:18,Telugu,2018-04-01,0.62,0.91,0.615,0.484,-6.628,0.099,150.093,1,2,0.07,4,28,6811613,Sad
Oh Kontae Konangi,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:29,Telugu,2018-04-01,0.22,0.683,0.283,0.039,-3.122,0.08,144.55,1,5,0.0681,4,41,7223793,Sad
Samsaram Oka Chadarangam,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,08:37,Telugu,2018-04-01,0.62,0.23,0.76,0.002,-3.975,0.03,145.029,1,1,0.0911,4,65,2524487,Happy
Yevvaru Vesina Mala Idhi,Vijay Yesudas|Mahathi,/artist/vijay-yesudas|/artist/mahathi,04:52,Telugu,2018-04-01,0.74,0.749,0.961,0.052,-6.21,0.032,173.984,1,10,0.07,4,98,10815991,Happy
Yaaramithaa Vanamaalina,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,03:27,Telugu,2018-03-12,0.8,0.94,0.276,0.052,-13.781,0.0913,149.884,0,6,0.0589,4,39,11362719,Sad
Kattu Kattuko,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,03:19,Telugu,2018-03-12,0.31,0.985,0.523,0.403,-5.511,0.039,174.034,0,4,0.0596,4,84,4846022,Sad
Pahi Rama Prabho Drmbalamurali Krishna,M. Balamuralikrishna,/artist/m-balamuralikrishna-1,05:08,Telugu,2018-03-10,0.61,0.917,0.348,0.018,-6.085,0.0128,140.023,0,1,0.0,4,60,4471385,Sad
Vallento Subharam,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:20,Telugu,2018-03-09,0.59,0.889,0.321,0.201,-7.445,0.01,150.392,1,1,0.002,4,78,8204052,Sad
Vithalaa Panduranga,V. Ramakrishna,/artist/v-ramakrishna-2,03:54,Telugu,2018-03-05,0.6,0.53,0.437,0.039,-8.68,0.09,149.957,1,1,0.01,4,29,6336413,Sad
Natanalu Chalinchura,S. Janaki,/artist/s-janaki,03:22,Telugu,2018-03-04,0.26,0.18,0.043,0.168,-11.822,0.03,173.905,0,8,0.094,4,89,4889023,Sad
Vande Sambum Umapathimslokam,Ghanatasala,/artist/ghanatasala,02:56,Telugu,2018-03-03,0.26,0.61,0.943,0.922,-7.851,0.0644,150.083,0,11,0.041,4,55,427206,Happy
Jaya Mathanga,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,00:55,Telugu,2018-03-03,0.97,0.192,0.139,0.816,-6.615,0.09,139.797,1,7,0.0217,4,28,6178324,Happy
Nenu Puttina Roju,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:30,Telugu,2018-03-02,0.29,0.29,0.985,0.416,-6.82,0.09,140.026,1,2,0.0671,4,85,11095605,Happy
Kannulu Neeve,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,04:37,Telugu,2018-03-02,0.14,0.746,0.503,0.494,-7.258,0.0921,150.028,1,11,0.0954,4,84,6031357,Sad
Oho Andamaina,Madhavapeddi Satyam,/artist/madhavapeddi-satyam,02:47,Telugu,2018-03-02,0.66,0.028,0.842,0.392,-10.186,0.02,159.94,1,9,0.0676,4,61,355588,Happy
Priyathama Manasu Maaruna,A. M. Rajah|Bhanumathi Ramakrishna,/artist/a-m-rajah-1|/artist/bhanumathi-ramakrishna,03:01,Telugu,2018-03-01,0.87,0.93,0.345,0.333,-3.963,0.071,151.65,1,7,0.044,4,26,6645621,Sad
Idi Devudi Patanama,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,03:17,Telugu,2018-03-01,0.63,0.698,0.17,0.303,-7.789,0.045,174.006,1,8,0.034,4,31,3839756,Sad
Yedhalo Tholivalape,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:26,Telugu,2018-03-01,0.41,0.289,0.78,0.723,-7.955,0.04,149.938,1,6,0.0623,4,80,8814542,Happy
Rani Vaasava,S.P.Charan|S. Janaki,/artist/spcharan|/artist/s-janaki,04:22,Telugu,2018-02-12,0.65,0.0,0.043,0.743,-11.414,0.08,173.01,1,2,0.04,4,47,10406244,Happy
Are Kushi Kushi,S. Janaki,/artist/s-janaki,04:06,Telugu,2018-02-12,0.52,0.07,0.342,0.153,-2.851,0.09,160.012,1,1,0.0103,4,25,8770934,Sad
Cheli Rava,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:47,Telugu,2018-02-11,0.97,0.801,0.929,0.195,-9.294,0.0491,150.03,0,4,0.0496,4,38,4654054,Sad
Maro Prapancham,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:31,Telugu,2018-02-08,0.01,0.951,0.028,0.685,-4.232,0.061,149.992,1,6,0.05,4,89,3756482,Sad
Chitti Potti Chinnari,P. Susheela|Swarnalatha,/artist/p-suseela-2|/artist/swarnalatha,03:06,Telugu,2018-02-05,0.41,0.005,0.84,0.651,-4.066,0.08,139.97,0,10,0.094,4,53,6021020,Energetic
Ragam Navaragu,S. Janaki,/artist/s-janaki,04:15,Telugu,2018-02-05,0.91,0.15,0.331,0.574,-4.97,0.0,174.001,0,1,0.0,4,38,6563459,Sad
Atlanti Itlanti Heroni Kanu,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:59,Telugu,2018-02-04,0.13,0.258,0.589,0.912,-7.115,0.0283,144.733,1,6,0.0004,4,80,4962755,Sad
Thelusuko Oho Jawarala,P.B. Sreenivas,/artist/pb-sreenivas,03:31,Telugu,2018-02-03,0.76,0.31,0.788,0.568,-10.928,0.039,173.947,1,0,0.0904,4,52,1143237,Happy
Nuvve Naa Sampangi Poovu,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:13,Telugu,2018-02-02,0.35,0.75,0.243,0.005,-9.0,0.0126,139.901,0,1,0.0,4,91,4379292,Sad
Poolu Gusa Gusa,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,03:04,Telugu,2018-02-02,0.1,0.347,0.235,0.416,-7.572,0.024,144.96,0,5,0.1,4,91,5507993,Sad
Ver Malima,K J Yesudas|S. Janaki,/artist/k-j-yesudas|/artist/s-janaki,04:42,Telugu,2018-02-01,0.27,0.17,0.625,0.682,-2.402,0.084,150.005,0,5,0.08,4,74,1032253,Happy
Kallallo Kallupetti,Ghanatasala|Sharada,/artist/ghanatasala|/artist/sharada,03:56,Telugu,2018-02-01,0.57,0.29,0.106,0.492,-11.68,0.01,139.878,0,10,0.06,4,25,11213220,Sad
Naa Prema,K J Yesudas|S. Janaki,/artist/k-j-yesudas|/artist/s-janaki,03:45,Telugu,2018-01-12,0.82,0.51,0.929,0.114,-8.02,0.065,150.119,1,1,0.0065,4,48,9755287,Happy
Nee Kela Inta,S. Janaki|Mohammed Rafi,/artist/s-janaki|/artist/mohammad-rafi,05:01,Telugu,2018-01-11,0.12,0.44,0.355,0.948,-9.192,0.0226,172.991,1,2,0.06,4,45,1197838,Sad
Sundara Kandamu,Ghanatasala,/artist/ghanatasala,04:26,Telugu,2018-01-10,0.53,0.946,0.431,0.644,-8.227,0.06,175.028,0,10,0.04,4,38,2544235,Sad
Erra Buggala Meeda,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,06:01,Telugu,2018-01-07,0.47,0.187,0.631,0.451,-5.216,0.03,148.71,1,8,0.0757,4,86,1541558,Happy
Vastha Vellostha,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:59,Telugu,2018-01-06,0.8,0.25,0.95,0.961,-11.234,0.0196,145.062,1,1,0.07,4,79,355629,Happy
Mama Chandamama,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,03:36,Telugu,2018-01-06,0.08,0.43,0.468,0.046,-11.717,0.06,146.06,1,1,0.0606,4,91,10959885,Sad
Siva Govinda Govinda (2),V. Ramakrishna,/artist/v-ramakrishna-2,06:03,Telugu,2018-01-04,0.88,0.65,0.047,0.031,-2.944,0.0169,154.054,1,1,0.09,4,41,6867032,Sad
Beauty Beauty Nade Nade,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,05:03,Telugu,2018-01-04,0.24,0.484,0.301,0.269,-9.446,0.03,149.859,0,11,0.058,4,52,1990765,Sad
Padhyam And Slokam,Ghanatasala|M.S. Rama Rao,/artist/ghanatasala|/artist/ms-rama-rao-40,05:44,Telugu,2018-01-04,0.64,0.17,0.989,0.281,-3.883,0.04,149.947,1,1,0.032,4,82,89405,Energetic
Oh Pydi Ledammaa,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,08:33,Telugu,2018-01-04,0.78,0.64,0.422,0.264,-6.18,0.02,144.948,1,4,0.07,4,84,8381995,Sad
Evarini Aadagali,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:43,Telugu,2018-01-03,0.08,0.379,0.47,0.777,-4.643,0.0938,149.952,0,5,0.0193,3,71,4665897,Sad
Yemani Varninchanu,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:08,Telugu,2018-01-02,0.52,0.482,0.766,0.774,-12.34,0.07,145.053,1,11,0.06,4,75,760169,Happy
Eduruga Neevunte,V. Ramakrishna|P. Susheela,/artist/v-ramakrishna-2|/artist/p-suseela-2,05:01,Telugu,2018-01-02,0.12,0.71,0.183,0.709,-11.901,0.09,140.013,1,1,0.0682,4,74,10226113,Sad
Chaatumaatu,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:15,Telugu,2018-01-01,0.4,0.69,0.9,0.103,-8.319,0.0881,172.967,0,9,0.04,4,29,9819425,Energetic
Oh Lammi,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:31,Telugu,2018-01-01,0.86,0.62,0.931,0.276,-2.604,0.03,150.02,0,5,0.07,4,84,3638969,Happy
Evaru Nannapaleru,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:25,Telugu,2017-12-12,0.27,0.82,0.121,0.953,-10.632,0.0,150.011,1,8,0.063,4,58,7250646,Sad
Ekado Chusina,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:36,Telugu,2017-12-12,0.0,0.707,0.564,0.57,-2.617,0.0545,154.008,1,1,0.0309,4,49,5600427,Sad
Chalada Ee Pooja,Ghanatasala,/artist/ghanatasala,03:05,Telugu,2017-12-11,0.41,0.22,0.035,0.518,-11.526,0.06,175.02,0,11,0.049,4,48,7685503,Sad
Toli Aasalu Pongee,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:33,Telugu,2017-12-10,0.27,0.103,0.462,0.311,-6.441,0.083,149.966,1,2,0.034,4,26,6254472,Sad
Lechindi Mahilalokam,Ghanatasala,/artist/ghanatasala,02:38,Telugu,2017-12-09,0.61,0.277,0.171,0.614,-5.939,0.0849,149.984,0,3,0.088,4,50,540915,Sad
Bahusha Ninu,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:25,Telugu,2017-12-08,0.44,0.766,0.159,0.665,-7.408,0.038,142.008,0,11,0.08,4,26,1681038,Sad
Malle Thellana,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:24,Telugu,2017-12-08,0.22,0.789,0.442,0.051,-10.426,0.0681,174.034,0,8,0.09,4,53,10819125,Sad
Endhuke Endhuke,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:13,Telugu,2017-12-07,0.13,0.59,0.441,0.61,-3.197,0.071,173.997,0,7,0.052,4,48,8874088,Sad
Pandanti Jeevitham,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:13,Telugu,2017-12-05,0.07,0.965,0.247,0.523,-7.613,0.01,149.997,1,1,0.077,4,78,3979384,Sad
Sathi Savitri,Ghanatasala|M. R. Thilakam|N. T. Rama Rao|Vanisri,/artist/ghanatasala|/artist/m-r-thilakam-1|/artist/n-t-rama-rao-5|/artist/vanisri-1,06:49,Telugu,2017-12-04,0.18,0.94,0.138,0.042,-9.537,0.0268,149.958,1,2,0.046,4,76,4527135,Sad
Yenduku Yenduku - K.J. Yesudas,K J Yesudas,/artist/k-j-yesudas,04:48,Telugu,2017-12-04,0.86,0.1,0.317,0.878,-11.46,0.0322,150.06,1,7,0.0686,4,73,5477958,Sad
Kani Sari Kani,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:57,Telugu,2017-12-03,0.97,0.529,0.736,0.747,-6.61,0.0381,174.016,1,7,0.0907,4,47,10804309,Happy
Veera Bhaaratheeya,P Suhseela,/artist/p-suhseela,03:54,Telugu,2017-12-03,1.0,0.553,0.178,0.507,-4.38,0.05,174.003,1,1,0.0411,4,95,10746851,Sad
Kovela Deepam,S. Janaki,/artist/s-janaki,04:25,Telugu,2017-12-02,0.42,0.7,0.285,0.3,-4.169,0.05,149.964,1,0,0.063,4,75,1950981,Sad
Payaninche Chirugali,G. Anand,/artist/g-anand-1,04:35,Telugu,2017-12-02,0.21,0.72,0.251,0.38,-6.21,0.07,149.997,1,1,0.02,4,35,9828133,Sad
Merise Tharalone,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,03:37,Telugu,2017-12-01,0.87,0.166,0.607,0.318,-8.969,0.047,143.997,0,11,0.09,4,97,5466710,Happy
Kotha Pelli Koothura,L.R. Eswari,/artist/lr-eswari-2,04:13,Telugu,2017-12-01,0.91,0.292,0.785,0.719,-7.948,0.0353,150.053,0,11,0.086,4,74,8884018,Happy
Kondaa Kona Pilichindhi,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:34,Telugu,2017-12-01,0.61,0.49,0.672,0.103,-9.782,0.079,150.001,1,1,0.01,4,43,11054467,Happy
